eff,win,p05,pior,cap,w,cuts,eff_por_cap
1.1721434444940446,80.67226890756302,0.8429134990469749,0.8296903828059935,1.5873287671232876,"(1, 2, 4, 4)","(70, 76, 82, 88)",0.2930955439781984
1.158188953350576,79.83193277310924,0.8581560544982939,0.8504932725126532,1.5174657534246576,"(1, 2, 4, 5)","(70, 78, 86, 94)",0.3056993671632574
1.1721434444940446,81.5126050420168,0.847102988182731,0.8328876400433017,1.597945205479452,"(1, 2, 4, 5)","(70, 76, 82, 88)",0.28789167120424414
1.1643747303366256,79.83193277310924,0.8630580291000682,0.8548740267274529,1.5383561643835617,"(1, 2, 4, 6)","(70, 78, 86, 94)",0.3053271072410603
1.143290295070236,77.31092436974791,0.8309572965251403,0.817770530249827,1.4955479452054794,"(1, 2, 5, 1)","(70, 78, 86, 94)",0.2891552602661292
1.143324319828294,77.31092436974791,0.844715838213412,0.8309089208569101,1.4873287671232878,"(1, 2, 5, 2)","(70, 78, 86, 94)",0.29410190716698426
1.1719952237784343,78.99159663865547,0.827165813005477,0.8122093008674068,1.5832191780821918,"(1, 2, 5, 2)","(70, 76, 82, 88)",0.29490666672520743
1.1499408713183485,78.99159663865547,0.8501574584055618,0.8362667544073795,1.4965753424657535,"(1, 2, 5, 3)","(70, 78, 86, 94)",0.30194989258591565
1.1720380633616037,78.99159663865547,0.8355861976028026,0.8202976723931915,1.5856164383561644,"(1, 2, 5, 3)","(70, 76, 82, 88)",0.2937725994244928
1.155361196304412,79.83193277310924,0.8568966376835994,0.8429232605874328,1.5047945205479452,"(1, 2, 5, 4)","(70, 78, 86, 94)",0.3077711622855379
1.1720380633616037,80.67226890756302,0.8406368848703011,0.8273406104554607,1.591095890410959,"(1, 2, 5, 4)","(70, 76, 82, 88)",0.2910493308319135
1.1571253860807849,79.83193277310924,0.8593267842075951,0.845858538947111,1.510958904109589,"(1, 2, 5, 5)","(70, 78, 86, 94)",0.30751080921976665
1.1737259836042055,81.5126050420168,0.8432608978633008,0.8292806306673098,1.5934931506849315,"(1, 2, 5, 5)","(70, 76, 82, 88)",0.2927177565633469
