eff,win,p05,pior,cap,w,cuts,eff_por_cap
1.1918694665110567,82.35294117647058,0.8483304744679221,0.8299248887430039,1.6095890410958904,"(1, 0, 3, 3)","(70, 76, 82, 88)",0.3147521585462279
1.172217023591841,81.5126050420168,0.8385002599036343,0.8259502707019546,1.6352739726027397,"(1, 0, 3, 3)","(64, 74, 84, 92)",0.2710909481876958
1.1601790569346466,76.47058823529412,0.7944467346257378,0.7763151976692085,1.5469178082191781,"(1, 1, 0, 0)","(64, 72, 80, 88)",0.292875921258089
1.1367954813555912,74.78991596638656,0.8450637427368133,0.8231482769751004,1.3763698630136987,"(1, 1, 0, 0)","(70, 78, 86, 94)",0.3634602416363295
1.1719706469222086,77.31092436974791,0.7580345782165628,0.7378085714444587,1.6811643835616439,"(1, 1, 0, 0)","(64, 70, 76, 82)",0.25246570588881306
1.1707485970521239,76.47058823529412,0.8203928045571746,0.7971526415815124,1.4589041095890412,"(1, 1, 0, 0)","(70, 76, 82, 88)",0.37207903238224
1.1644856993325285,75.63025210084034,0.7667846404699483,0.7494692607535418,1.6496575342465754,"(1, 1, 0, 0)","(58, 68, 78, 86)",0.25318831947864173
1.157082494063172,76.47058823529412,0.8120167025866273,0.7944047011958485,1.4873287671232878,"(1, 1, 0, 0)","(64, 74, 84, 92)",0.3223337193706693
1.1814082243718231,78.99159663865547,0.8226371563364651,0.8080404176716547,1.6106164383561643,"(1, 1, 0, 1)","(64, 72, 80, 88)",0.29709030575755674
1.17509300444725,78.15126050420169,0.8640637430663984,0.8379614119778676,1.4376712328767123,"(1, 1, 0, 1)","(70, 78, 86, 94)",0.4000560039013852
1.2026123717452128,79.83193277310924,0.8062960971338917,0.782687769039693,1.6773972602739726,"(1, 1, 0, 1)","(64, 70, 76, 82)",0.2991042090475336
1.182095793170128,78.99159663865547,0.8505775730703908,0.8117155113583038,1.5465753424657533,"(1, 1, 0, 1)","(70, 76, 82, 88)",0.33315771682755235
1.1841388052619226,78.99159663865547,0.7956021162571075,0.7789821537990225,1.7065068493150686,"(1, 1, 0, 1)","(58, 68, 78, 86)",0.2606327248496432
1.1732029016041117,78.99159663865547,0.8384242812823068,0.8258052236925892,1.540068493150685,"(1, 1, 0, 1)","(64, 74, 84, 92)",0.32070543607102475
1.1911451710848386,79.83193277310924,0.8284295551090942,0.8080404176716547,1.7092465753424657,"(1, 1, 0, 2)","(64, 72, 80, 88)",0.26950453866138524
1.1799473594181051,79.83193277310924,0.8704873177801403,0.8379614119778676,1.5167808219178083,"(1, 1, 0, 2)","(70, 78, 86, 94)",0.34820827667386806
1.1923608584968306,79.83193277310924,0.856733188787581,0.8117155113583038,1.6174657534246575,"(1, 1, 0, 2)","(70, 76, 82, 88)",0.3115328379427318
1.1741307983858615,78.99159663865547,0.841498156805201,0.8258052236925892,1.6291095890410958,"(1, 1, 0, 2)","(64, 74, 84, 92)",0.2767892930248861
1.1805374386215604,78.99159663865547,0.8676926945416699,0.8379614119778676,1.573972602739726,"(1, 1, 0, 3)","(70, 78, 86, 94)",0.3145401675268235
1.1926183676934086,79.83193277310924,0.8504460070480955,0.8117155113583038,1.6856164383561645,"(1, 1, 0, 3)","(70, 76, 82, 88)",0.28094187495741907
1.1745114615239256,78.99159663865547,0.8430396753343605,0.8258052236925892,1.6626712328767124,"(1, 1, 0, 3)","(64, 74, 84, 92)",0.26334546131775854
1.151385959001783,76.47058823529412,0.7800946975944969,0.7618188868721186,1.6205479452054794,"(1, 1, 1, 0)","(64, 72, 80, 88)",0.24395529817064368
1.1384063536859164,75.63025210084034,0.8335126766273286,0.8125365525049251,1.428082191780822,"(1, 1, 1, 0)","(70, 78, 86, 94)",0.32331724221030056
1.158095010852708,76.47058823529412,0.8055638023070856,0.7822290305162806,1.540068493150685,"(1, 1, 1, 0)","(70, 76, 82, 88)",0.2927314088078042
1.150438117312268,76.47058823529412,0.7522384930673376,0.7357251580266405,1.7188356164383563,"(1, 1, 1, 0)","(58, 68, 78, 86)",0.20928027753779058
