date,open,high,low,close,volume,n,vwap,ohlc4,mvrv,market_cap,supply,hashrate,cm_price,realized_cap,realized_price,price_to_rp,nupl,mvrv_zscore,ma200d,mayer,ma200w,p_ma200w,rsi_weekly,rsi_weekly_prev,hr_ma30,hr_ma60,hr_capitulation,hr_recovery,hash_ribbon,pct_mvrv,pct_mayer,pct_p_ma200w,pct_price_to_rp,pct_rsi_weekly,pct_mvrv_zscore
2023-03-13,22190.0,24618.0,21900.0,24209.0,6738.26574302,1440,23183.720700607057,23229.25,1.222477139001,466585218228.0785,19316756.21059554,339899953.782142,24154.4290946815,381671937529.5384,19758.59369805503,1.2252390210535609,0.181988793003366,0.2992908963412648,19719.49,1.2276686668874295,25252.58682142857,0.9586740626293773,51.704006480474376,52.49915908066326,314806982.1223366,297290189.5983937,0.0,0.0,0.0,0.2577647346539496,0.606426735218509,0.08587360594795539,0.260454878943507,0.38762214983713356,0.23463087248322148
2023-03-14,24210.0,26533.0,24070.0,24750.0,7966.02323163,1440,25117.715423500707,24890.75,1.252017069531,478479673367.3147,19317668.61691925,316085307.0409517,24769.0175691409,382167052679.68195,19783.29063709911,1.251055774997661,0.20128884474826247,0.3394665966941054,19741.99,1.2536730086480643,25264.561107142854,0.9796330874318108,51.704006480474376,52.49915908066326,314814785.55842304,298067056.51573586,0.0,0.0,0.0,0.2779951100244499,0.6301721922384991,0.0903010033444816,0.27726161369193153,0.3875250501002004,0.24396135265700483
2023-03-15,24745.0,25273.0,23940.0,24368.0,4368.44571382,1440,24660.14713146658,24581.5,1.233259096934,471562885492.73517,19318587.27431244,318250273.5094446,24409.8017518995,382371301103.7872,19792.922519351043,1.2311471424281089,0.18914038219049378,0.31436657736253765,19763.605,1.2329734377913342,25276.10347142857,0.9640726478092216,51.704006480474376,52.49915908066326,315301456.9755813,298541046.1064108,0.0,0.0,0.0,0.2639941334637008,0.6107399794450155,0.08803863298662705,0.2632608164263016,0.3874279989982469,0.23718808693319024
2023-03-16,24361.0,25217.0,24229.0,25050.0,2430.85019301,1440,24804.876429161355,24714.25,1.264318230866,483820966773.2831,19319424.68510582,290105693.8312686,25043.2388468732,382673408451.8325,19807.702076493613,1.2646595704671657,0.2090598904715264,0.3565018760500062,19791.07,1.2657223687248844,25288.367757142856,0.9905740157122032,51.704006480474376,52.49915908066326,314979740.7608264,298690811.65781385,0.0,0.0,0.0,0.2837243401759531,0.6378114564603133,0.09209060527292982,0.2829912023460411,0.3873309964947421,0.2486587982832618
2023-03-17,25051.0,27818.0,24954.0,27466.0,5166.28277037,1440,26570.53287698126,26322.25,1.381709504388,530355563505.5659,19320343.33921469,318250273.5094446,27450.6282933957,383840135586.58704,19867.148779261235,1.3824832292327218,0.2762588685796661,0.5163734971935757,19826.89,1.3852903808918091,25302.735107142857,1.0854952985792616,51.704006480474376,52.49915908066326,315012234.6406088,299416835.5104689,0.0,0.0,0.0,0.3672123137063279,0.7185413456599897,0.11581291759465479,0.367700952846323,0.3872340425531915,0.32555644945025475
2023-03-18,27466.0,27776.0,26707.0,26980.0,2933.79686267,1440,27323.6510168254,27232.25,1.357927080335,521401004462.5542,19321355.72015879,350724792.3597138,26985.7359915254,383968338221.7584,19872.743081954024,1.3576384442115548,0.2635834320696363,0.4843382963055361,19862.695,1.358325242370182,25316.820735714282,1.0656946336843742,51.704006480474376,52.49915908066326,315089092.2898582,300403806.6059545,0.0,0.0,0.0,0.3539325842696629,0.7029525032092426,0.11168831168831168,0.3541768441621886,0.38713713713713716,0.31018766756032173
2023-03-19,26992.0,28474.0,26900.0,28054.0,2615.71251826,1440,27724.535084046234,27605.0,1.41718434858,544602429934.9583,19322280.70872038,320415243.0954912,28185.2043319696,384284818330.5459,19888.170766358526,1.4105872445269947,0.2943754981474451,0.5649470258217436,19902.67,1.4095596218999764,25331.00216428571,1.1074966484963416,65.27633522985988,51.704006480474376,315063986.79848284,301383920.29851073,0.0,0.0,0.0,0.3851037851037851,0.7284394250513347,0.12277448071216618,0.38168498168498166,0.6760070052539404,0.34682390779951755
2023-03-20,28081.0,28567.0,27231.0,27815.0,3998.09358215,1440,27972.422269149523,27923.5,1.398348824456,537849646186.57446,19323243.20868762,333405048.1415559,27834.3361090006,384631957906.3645,19905.144998301123,1.3973774118386966,0.2848708544600592,0.5398912445624328,19941.105,1.394857506642686,25345.151707142857,1.0974485503734854,65.27633522985988,51.704006480474376,315277227.2258883,302424811.45290786,0.0,0.0,0.0,0.3740234375,0.7231203489863998,0.12087504634779385,0.374267578125,0.6758379189594798,0.3360128617363344
2023-03-21,27808.0,28497.0,27436.0,28192.0,2955.11628597,1440,28049.95990061586,27983.25,1.413889214116,544415302326.4737,19324149.4586494,313920337.45490515,28172.7950558153,385048062387.86975,19925.744375544768,1.4148530397991335,0.29273100748192227,0.5615187931421929,19982.27,1.4108507191625375,25359.60659285714,1.1116891698130933,65.27633522985988,51.704006480474376,315230272.36915034,303545827.5714346,0.0,0.0,0.0,0.38223090065901877,0.728578758337609,0.12416604892512972,0.3846717110080547,0.6756689172293073,0.34637021162603804
2023-03-22,28184.0,28936.0,26688.0,27320.0,5024.21040571,1440,27890.69704582847,27782.0,1.371700451034,528379507078.967,19325143.20861664,344229889.8366814,27341.5571297487,385200359656.2717,19932.600524508387,1.3706189499161607,0.27097785872550306,0.5044525945455152,20019.67,1.364657858995678,25373.67448571428,1.076706490239777,65.27633522985988,51.704006480474376,317166873.5586184,304985139.76755077,0.0,0.0,0.0,0.3616398243045388,0.7053090536034881,0.11337532419414598,0.3601756954612006,0.6755,0.3208355650776647
